joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
0.027609000,0.124225996,0.160218999,0.155653000,-0.155664995,-0.086741000,0.034375999,-0.071749002,-0.281013012,0.121487997,-0.152608007,0.055335000,-0.058715999,1.346734047,1.607442975,1.204041004,1.262156010,-0.196355000,-0.180726007,0.031036001,0.513832986,-1.668483019,-0.507477999,1.381464005,0.010342000,-0.003444000,-0.033335000,0.000000000,0.000000000
0.028280396,0.124081194,0.160237804,0.154226601,-0.155062407,-0.086985394,0.034344200,-0.071805000,-0.281222194,0.121464998,-0.152849004,0.054073803,-0.058732800,1.346734524,1.607387424,1.204048872,1.262144208,-0.196377203,-0.180723995,0.031023599,0.513832986,-1.668330312,-0.507481396,1.381472349,0.010352800,-0.003446400,-0.033327602,0.000000000,0.000000000
0.028147401,0.124065802,0.160283804,0.154536992,-0.155332997,-0.087003395,0.034324996,-0.071870402,-0.281389773,0.121462800,-0.152996406,0.053513400,-0.058739200,1.346733093,1.607358575,1.204055190,1.262139559,-0.196384400,-0.180723995,0.031018600,0.513831198,-1.668254375,-0.507485569,1.381476402,0.010357399,-0.003447000,-0.033324398,0.000000000,0.000000000
0.027529601,0.124208003,0.160402402,0.155775607,-0.155789599,-0.086591795,0.034268599,-0.071864203,-0.281514198,0.121498398,-0.152278990,0.054631405,-0.058745399,1.346734166,1.607331634,1.204061508,1.262135029,-0.196385980,-0.180724397,0.031013601,0.513830006,-1.668179989,-0.507488608,1.381479859,0.010361800,-0.003447400,-0.033320002,0.000000000,0.000000000
0.027429599,0.124246202,0.160528198,0.155997008,-0.155798808,-0.086534396,0.034295000,-0.071868002,-0.281258404,0.121485204,-0.152511194,0.055438001,-0.058758199,1.346733451,1.607268214,1.204078794,1.262125373,-0.196387604,-0.180728614,0.031000398,0.513827384,-1.668004155,-0.507496178,1.381486654,0.010370599,-0.003450000,-0.033311397,0.000000000,0.000000000
0.027687000,0.124293998,0.160595000,0.155359998,-0.155451000,-0.086822003,0.034299001,-0.071760997,-0.280826986,0.121444002,-0.153356001,0.055720001,-0.058759000,1.346732974,1.607262015,1.204081059,1.262123942,-0.196389005,-0.180729002,0.030998999,0.513827026,-1.667986989,-0.507497013,1.381487012,0.010371000,-0.003450000,-0.033310998,0.000000000,0.000000000
0.027757801,0.124171600,0.160409197,0.155090794,-0.155155391,-0.086871400,0.034238201,-0.071707599,-0.280570209,0.121404395,-0.153592199,0.055278204,-0.058761999,1.346723557,1.607224226,1.204098344,1.262120605,-0.196391612,-0.180738002,0.030995000,0.513822019,-1.667892218,-0.507503986,1.381487012,0.010375399,-0.003448000,-0.033309001,0.000000000,0.000000000
0.027913399,0.124105603,0.160355389,0.154696405,-0.154874191,-0.086892396,0.034171000,-0.071723200,-0.280638605,0.121439204,-0.153245807,0.054682601,-0.058761999,1.346716642,1.607192397,1.204114437,1.262118220,-0.196384609,-0.180748001,0.030991400,0.513819218,-1.667807102,-0.507507622,1.381486177,0.010380400,-0.003448000,-0.033308201,0.000000000,0.000000000
0.027693400,0.124189802,0.160531595,0.155126601,-0.155143410,-0.086842202,0.034117799,-0.071898401,-0.281120002,0.121498004,-0.152103007,0.054220803,-0.058764201,1.346708298,1.607151628,1.204133391,1.262112379,-0.196383595,-0.180759996,0.030985400,0.513818979,-1.667696953,-0.507510006,1.381484747,0.010388800,-0.003449200,-0.033306800,0.000000000,0.000000000
0.027935598,0.124173805,0.160586596,0.154577002,-0.154836208,-0.086818196,0.034099400,-0.071887404,-0.281090617,0.121484600,-0.152376592,0.054205798,-0.058766000,1.346698046,1.607110262,1.204151750,1.262105227,-0.196390212,-0.180772603,0.030979801,0.513818383,-1.667587042,-0.507511616,1.381482363,0.010397400,-0.003451000,-0.033305399,0.000000000,0.000000000
0.028010000,0.124123000,0.160518005,0.154388994,-0.154728994,-0.086809002,0.034104001,-0.071817003,-0.280755013,0.121436998,-0.153328001,0.054648999,-0.058766000,1.346690059,1.607084990,1.204164982,1.262102008,-0.196392998,-0.180782005,0.030978000,0.513817012,-1.667521000,-0.507514000,1.381479979,0.010403000,-0.003451000,-0.033305001,0.000000000,0.000000000
0.027483199,0.124163806,0.160389200,0.155338794,-0.155115992,-0.086809196,0.034043401,-0.071818396,-0.280602813,0.121454805,-0.152831003,0.055681400,-0.058761001,1.346675038,1.607030630,1.204192400,1.262099028,-0.196393996,-0.180801004,0.030975997,0.513813019,-1.667386174,-0.507517993,1.381474972,0.010414000,-0.003451000,-0.033305999,0.000000000,0.000000000
0.027576201,0.124162003,0.160431996,0.155151799,-0.155107394,-0.087057807,0.034062799,-0.071832202,-0.280644596,0.121467404,-0.152371392,0.056183998,-0.058755599,1.346669555,1.606998444,1.204205632,1.262096286,-0.196389616,-0.180810988,0.030974202,0.513813972,-1.667300224,-0.507516980,1.381469607,0.010424000,-0.003452800,-0.033307798,0.000000000,0.000000000
0.027916800,0.124127202,0.160626397,0.154416591,-0.154967204,-0.087591797,0.034072801,-0.071901605,-0.280943811,0.121481001,-0.152278602,0.055653200,-0.058746602,1.346665978,1.606952190,1.204221606,1.262090802,-0.196380600,-0.180823594,0.030970000,0.513811827,-1.667171717,-0.507519245,1.381459594,0.010439800,-0.003453000,-0.033312201,0.000000000,0.000000000
