joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
0.000554975,0.001705065,0.005780160,-0.002985075,0.000949576,0.001855008,-0.001790002,-0.004105084,-0.011300296,0.001134910,0.021730363,-0.011920091,-0.000100024,-0.000464916,-0.002053380,0.000932813,-0.000324845,-0.000140071,-0.000615045,-0.000289967,-0.000020862,0.005501509,-0.000099838,-0.000095367,0.000424986,-0.000075001,0.000070035,0.000000000,0.000000000
0.007914985,-0.001670048,-0.000339746,-0.018440187,0.010360405,0.000829995,-0.000344962,0.002034940,0.009124726,-0.001525134,-0.030624866,0.010704901,-0.000044983,-0.000455976,-0.001665950,0.000789762,-0.000259280,-0.000235066,-0.000550225,-0.000185007,-0.000049174,0.004398823,-0.000099838,-0.000119209,0.000354997,-0.000045000,0.000044983,0.000000000,0.000000000
-0.011309981,-0.000249967,-0.004934892,0.019044802,-0.006994605,0.000225008,-0.001399964,0.001725182,0.012195110,-0.000744872,-0.011360273,0.036890060,0.000124983,-0.000575185,-0.001990795,0.001016259,-0.000154972,-0.000094622,-0.000710040,-0.000095088,-0.000134110,0.005021691,-0.000159442,-0.000184774,0.000414997,0.000000000,-0.000014994,0.000000000,0.000000000
-0.010844972,0.000975095,-0.002150238,0.019070134,-0.009460002,-0.006220117,-0.001030043,-0.000379980,0.002760440,0.000760145,0.023915246,0.038374960,0.000260025,-0.000512600,-0.002163649,0.001016259,-0.000143051,0.000084564,-0.000724569,-0.000094948,-0.000075996,0.005519390,-0.000074506,-0.000259280,0.000525010,-0.000045000,-0.000069942,0.000000000,0.000000000
0.010840036,-0.000915118,0.005929917,-0.023055077,0.003719702,-0.019565038,0.000735000,-0.002080202,-0.008524954,0.000654906,0.013810024,-0.000705011,0.000359956,-0.000226498,-0.001960993,0.000730157,-0.000205636,0.000334904,-0.000564754,-0.000149943,-0.000029802,0.005361438,-0.000031292,-0.000384450,0.000645011,-0.000050000,-0.000155065,0.000000000,0.000000000
0.017785002,-0.001890212,0.007444993,-0.039434806,0.017409772,-0.010044873,-0.000874978,-0.000859983,-0.003129989,-0.000215136,-0.009155273,-0.023759808,0.000344962,-0.000104308,-0.001668930,0.000554323,-0.000199676,0.000360608,-0.000455230,-0.000145053,-0.000114739,0.004667044,-0.000090897,-0.000345707,0.000580004,-0.000005000,-0.000155065,0.000000000,0.000000000
0.004504994,-0.000954978,0.000490248,-0.011964887,0.015779957,0.015094876,-0.001644995,0.002240203,0.011570007,-0.001499988,-0.025685132,-0.015704986,0.000290014,-0.000023842,-0.001230836,0.000360608,-0.000146031,0.000365078,-0.000310317,-0.000124983,-0.000120699,0.003492832,-0.000093877,-0.000238419,0.000429992,-0.000025000,-0.000094995,0.000000000,0.000000000
-0.015300047,-0.001055002,-0.008119643,0.029559806,-0.012945011,0.010154955,0.001339987,0.000344962,-0.007810444,0.000194833,0.001635030,0.005844887,0.000215136,0.000143051,-0.001007318,0.000125170,-0.000184774,0.000159442,-0.000110269,-0.000160001,-0.000070035,0.002944469,-0.000059605,-0.000208616,0.000360003,-0.000034994,-0.000069942,0.000000000,0.000000000
-0.043149993,-0.024220161,-0.073000416,-0.005900115,0.014535338,0.002025068,-0.002755038,-0.021040067,-0.087139755,-0.002080016,0.013180077,0.004864950,-0.008724909,0.070449710,-0.027373433,0.036999583,-0.146323442,-0.198424980,0.078850240,-0.034350015,-0.060549378,0.059872866,-0.024424493,-0.011527538,0.144024983,-0.038475003,0.018500071,0.000000000,0.000000000
-0.022234954,-0.022889674,-0.064570457,-0.048055127,0.044695288,0.003235042,-0.006490014,-0.020080060,-0.057534128,-0.005109608,-0.034749880,-0.054670218,-0.008295197,0.070503354,-0.029855967,0.037395954,-0.145512819,-0.197984651,0.078865141,-0.033430010,-0.060434639,0.063404441,-0.024500489,-0.011381507,0.143824980,-0.038594998,0.018600002,0.000000000,0.000000000
-0.000490109,0.001985021,-0.001449883,0.000175461,0.007639825,0.003879890,-0.002504978,0.000279956,0.015400350,-0.001470000,-0.026759878,-0.058024935,0.000640005,0.000250340,-0.003618002,0.000414252,0.000941753,0.000514835,0.000074878,0.001115026,0.000149012,0.005707145,-0.000050664,0.000125170,-0.000124983,-0.000174996,0.000124983,0.000000000,0.000000000
-0.013130018,0.000609830,-0.007504970,0.026110187,-0.008900091,0.010275096,0.000405032,0.000150129,-0.005960464,0.001719780,0.031105056,0.011435244,0.000175089,0.000044703,-0.001129508,0.000134110,0.000265241,0.000179932,-0.000024959,0.000280002,0.000120699,0.001791120,0.000050664,0.000071526,-0.000040000,-0.000095007,0.000069942,0.000000000,0.000000000
-0.018894859,0.002165139,-0.001139939,0.040889904,-0.030324981,-0.000474975,0.000364985,-0.001144968,-0.005090237,0.001605041,0.033809990,0.060584955,0.000010058,0.000000000,-0.000283122,0.000035763,0.000032783,0.000035018,-0.000024959,0.000009965,0.000075996,0.000521541,0.000025332,0.000026822,0.000000000,-0.000050000,0.000024959,0.000000000,0.000000000
