root_ori6_0,root_ori6_1,root_ori6_2,root_ori6_3,root_ori6_4,root_ori6_5
0.004069030,0.999893129,-0.999505222,0.004504681,-0.031189911,-0.013909766
0.000437438,0.999897301,-0.999511421,0.000885248,-0.031256225,-0.014315090
-0.003424644,0.999887824,-0.999504566,-0.002966046,-0.031290703,-0.014690369
-0.007143259,0.999864817,-0.999485135,-0.006675482,-0.031281389,-0.015032916
-0.010575771,0.999831736,-0.999457657,-0.010102034,-0.031186119,-0.015309602
-0.013725519,0.999794304,-0.999423087,-0.013253331,-0.031065587,-0.015354847
-0.016733289,0.999750972,-0.999381542,-0.016266346,-0.030932868,-0.015284128
-0.019649625,0.999695122,-0.999324739,-0.019173145,-0.031052299,-0.015569378
-0.022508144,0.999633312,-0.999260545,-0.022024989,-0.031175569,-0.015754633
-0.025251746,0.999569356,-0.999190867,-0.024768233,-0.031307679,-0.015739538
-0.027563095,0.999506533,-0.999133527,-0.027076244,-0.031184763,-0.015925603
-0.029658079,0.999443293,-0.999081492,-0.029166818,-0.030933749,-0.016211702
-0.031618953,0.999383986,-0.999005735,-0.031120539,-0.031430155,-0.016224224
-0.033424497,0.999325991,-0.998933315,-0.032919526,-0.031860050,-0.016246896
-0.034918904,0.999275267,-0.998872817,-0.034408689,-0.032157216,-0.016288530
-0.036430240,0.999218524,-0.998813450,-0.035910487,-0.032319829,-0.016518384
-0.037787914,0.999167681,-0.998759985,-0.037264705,-0.032415919,-0.016596582
-0.037787914,0.999167681,-0.998759985,-0.037264705,-0.032415919,-0.016596582
-0.038131952,0.999156952,-0.998745799,-0.037612915,-0.032448649,-0.016458848
-0.038131952,0.999156952,-0.998745799,-0.037612915,-0.032448649,-0.016458848
-0.038412809,0.999149919,-0.998720646,-0.037894487,-0.032891717,-0.016239420
-0.038412809,0.999149919,-0.998720646,-0.037894487,-0.032891717,-0.016239420
-0.037622333,0.999183059,-0.998748541,-0.037110686,-0.032952916,-0.016000992
-0.036472321,0.999228954,-0.998786688,-0.035966873,-0.033089269,-0.015745886
-0.036472321,0.999228954,-0.998786688,-0.035966873,-0.033089269,-0.015745886
-0.034691334,0.999293685,-0.998852611,-0.034191132,-0.033015050,-0.015594748
-0.034691334,0.999293685,-0.998852611,-0.034191132,-0.033015050,-0.015594748
-0.031913400,0.999388993,-0.998953521,-0.031425238,-0.032766651,-0.015306924
-0.030168056,0.999444485,-0.999017119,-0.029688239,-0.032482024,-0.015154373
-0.028372407,0.999494553,-0.999088883,-0.027897358,-0.031884786,-0.015248316
-0.026298404,0.999552608,-0.999157786,-0.025833368,-0.031499896,-0.015078497
-0.024084806,0.999611557,-0.999222338,-0.023632526,-0.031220429,-0.014776915
-0.021694422,0.999670386,-0.999278307,-0.021253109,-0.031186137,-0.014413036
-0.019310713,0.999722660,-0.999328196,-0.018879175,-0.031151783,-0.014088136
-0.016940236,0.999767721,-0.999372065,-0.016515970,-0.031118646,-0.013841130
-0.014192581,0.999814391,-0.999421120,-0.013781428,-0.030921007,-0.013471267
-0.011256456,0.999855995,-0.999467134,-0.010861039,-0.030640032,-0.013040639
-0.008105040,0.999888837,-0.999492824,-0.007715106,-0.030797983,-0.012759128
-0.004974604,0.999911666,-0.999513745,-0.004592419,-0.030781239,-0.012474863
-0.001886129,0.999924660,-0.999535680,-0.001516104,-0.030415583,-0.012186674
0.001334488,0.999924481,-0.999543965,0.001702607,-0.030169766,-0.012178518
0.004620671,0.999911845,-0.999539793,0.004991710,-0.029984400,-0.012310528
0.007730186,0.999894261,-0.999520779,0.008095682,-0.029979229,-0.012091292
0.010965586,0.999865770,-0.999491096,0.011324465,-0.029955136,-0.011836999
0.014452994,0.999824226,-0.999448717,0.014802754,-0.029893525,-0.011512693
0.017799854,0.999772370,-0.999398768,0.018140972,-0.029754294,-0.011234215
0.021076202,0.999710619,-0.999340475,0.021408975,-0.029575806,-0.010979070
0.024184167,0.999644816,-0.999270141,0.024503767,-0.029573482,-0.010492112
0.027274787,0.999568045,-0.999192774,0.027584434,-0.029495973,-0.010140784
0.030330539,0.999480069,-0.999111354,0.030636489,-0.029270895,-0.010061178
0.033390343,0.999382973,-0.999015808,0.033693135,-0.029203869,-0.009937800
0.036451876,0.999276519,-0.998908281,0.036751688,-0.029215697,-0.009792265
0.038840532,0.999185562,-0.998813391,0.039143264,-0.029381895,-0.009797391
0.041343093,0.999084055,-0.998714030,0.041647196,-0.029345121,-0.009827063
0.044073105,0.998965859,-0.998610258,0.044375539,-0.028902316,-0.009907307
0.046555817,0.998855293,-0.998505175,0.046849370,-0.028637029,-0.009665532
0.048914969,0.998746157,-0.998397350,0.049196064,-0.028459813,-0.009262674
0.050942540,0.998645484,-0.998306572,0.051217794,-0.028090041,-0.009167929
0.052888989,0.998544991,-0.998215735,0.053158045,-0.027713869,-0.009064027
0.054672539,0.998449922,-0.998130441,0.054934800,-0.027325395,-0.008941006
0.056428671,0.998353243,-0.998036623,0.056686461,-0.027180459,-0.008808848
0.058171034,0.998254180,-0.997937202,0.058425486,-0.027157180,-0.008671929
0.059434950,0.998182595,-0.997878611,0.059676528,-0.026568731,-0.008392598
0.060724735,0.998106718,-0.997814298,0.060956895,-0.026060797,-0.008207588
0.062066555,0.998023927,-0.997740686,0.062295735,-0.025714165,-0.008210288
0.063006401,0.997962475,-0.997688413,0.063239932,-0.025458612,-0.008473715
