f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
0.124380,0.231715,0.032080,0.009555,-0.079470,-0.028595,0.996351,0.437220,-0.057404,-1.843876,0.215125,-0.046410,0.089495,-0.072990,-0.226010,-0.022929,-0.056669,-0.045735,0.022110,-0.038350,-0.054195,-0.038170,0.066940,0.087550,-0.210535,-0.183305,-0.021020,0.000000,0.000000
0.134750,0.264695,0.009456,0.009780,-0.073425,-0.046550,1.071126,0.469260,-0.113465,-1.978755,0.352455,-0.086980,0.101780,-0.089665,-0.227125,-0.074205,-0.061390,-0.036555,-0.085745,-0.071405,-0.080210,-0.085455,0.222175,0.023791,-0.290090,-0.226160,-0.052780,0.000000,0.000000
0.145485,0.279110,0.000515,0.009780,-0.070485,-0.063100,1.091314,0.474364,-0.149770,-2.007713,0.462809,-0.123180,0.094725,-0.099450,-0.229385,-0.129326,-0.071305,-0.007145,-0.144535,-0.084920,-0.093480,-0.121600,0.346614,-0.040495,-0.281185,-0.262560,-0.084245,0.000000,0.000000
0.137940,0.272745,-0.006720,0.009055,-0.065655,-0.077335,1.038739,0.455660,-0.146095,-1.923204,0.529489,-0.125735,0.063670,-0.091810,-0.218335,-0.174104,-0.090238,-0.023605,-0.050276,-0.075115,-0.111930,-0.131775,0.433229,-0.064099,-0.227580,-0.352539,-0.110635,0.000000,0.000000
0.130115,0.264010,-0.007745,0.007655,-0.054535,-0.090175,0.966874,0.432180,-0.120795,-1.798654,0.587174,-0.099545,0.050450,-0.098330,-0.179880,-0.223514,-0.070119,-0.053915,0.194384,-0.110615,-0.118815,-0.122815,0.473695,-0.090852,-0.147620,-0.329420,-0.121405,0.000000,0.000000
0.124000,0.254961,0.000345,0.006075,-0.040950,-0.098430,0.889767,0.407471,-0.084325,-1.661989,0.628467,-0.062375,0.063670,-0.111065,-0.112980,-0.259311,-0.026467,-0.086705,0.439961,-0.166645,-0.112455,-0.101090,0.471561,-0.120345,-0.069400,-0.199326,-0.119535,0.000000,0.000000
0.109120,0.233785,0.024865,0.005360,-0.040485,-0.096000,0.789691,0.371745,-0.043605,-1.505892,0.621006,-0.051635,0.083705,-0.097645,-0.046405,-0.234205,-0.012982,-0.134720,0.341791,-0.115190,-0.102340,-0.072335,0.446751,-0.110492,-0.021090,-0.123265,-0.126040,0.000000,0.000000
0.076845,0.192775,0.046785,0.004010,-0.035240,-0.084895,0.639379,0.310034,-0.003155,-1.271448,0.542534,-0.055345,0.094470,-0.074425,0.000540,-0.153155,-0.004795,-0.108195,0.088910,-0.012150,-0.091055,-0.052030,0.407814,-0.082523,0.002815,-0.135679,-0.125105,0.000000,0.000000
0.026825,0.132320,0.048055,0.001145,-0.009775,-0.070550,0.435231,0.221750,0.030790,-0.935536,0.400326,-0.050995,0.084595,-0.054920,0.037230,-0.046761,0.011691,0.048615,-0.067310,0.064435,-0.088025,-0.036010,0.361930,-0.057995,0.016590,-0.234965,-0.104910,0.000000,0.000000
-0.008270,0.083245,0.041235,0.000130,0.010519,-0.058395,0.242816,0.144315,0.050020,-0.584507,0.241561,-0.053710,0.046690,-0.014915,0.077385,0.076275,-0.007334,0.146675,-0.202624,0.111725,-0.092935,-0.024855,0.330540,-0.016445,0.014570,-0.292375,-0.089280,0.000000,0.000000
-0.021870,0.058400,0.032585,0.008710,0.015230,-0.050325,0.087565,0.091460,0.055579,-0.260680,0.091936,-0.065045,0.011925,0.020520,0.097290,0.170280,-0.027612,0.140790,-0.292254,0.121940,-0.090140,-0.020615,0.287360,0.028360,0.004855,-0.257365,-0.072500,0.000000,0.000000
-0.025190,0.037960,0.028320,0.016490,0.020965,-0.042055,-0.044585,0.045955,0.062800,0.031870,-0.044295,-0.073805,0.008125,0.033345,0.086445,0.227036,-0.003630,0.105920,-0.254156,0.104155,-0.066360,-0.017800,0.199796,0.041151,0.004095,-0.134600,-0.008200,0.000000,0.000000
-0.017565,0.018380,0.021840,0.015295,0.028095,-0.034045,-0.132030,0.007000,0.060685,0.243764,-0.142675,-0.076750,-0.003355,0.052635,0.074505,0.236876,0.019270,0.054040,-0.161716,0.056260,-0.026685,-0.017770,0.094826,0.029737,0.016445,0.034189,0.057985,0.000000,0.000000
-0.008055,0.001790,0.006520,0.013465,0.029350,-0.026880,-0.176615,-0.024090,0.039925,0.370939,-0.201015,-0.071885,-0.024495,0.066585,0.059560,0.170864,0.046751,0.012475,-0.112724,-0.011225,0.025430,-0.014860,-0.035420,0.017327,0.038800,0.176464,0.078915,0.000000,0.000000
-0.000970,-0.005295,-0.017640,0.013340,0.029980,-0.029965,-0.171185,-0.038365,0.003091,0.397770,-0.217435,-0.066875,-0.051110,0.076755,0.043470,0.076925,0.064740,0.004195,-0.030686,-0.012770,0.077970,-0.006855,-0.171440,-0.017419,0.045855,0.286385,0.107195,0.000000,0.000000
0.002895,-0.004945,-0.046609,0.013755,0.031255,-0.041175,-0.128320,-0.037665,-0.040239,0.345119,-0.201460,-0.063705,-0.074890,0.086035,0.028070,-0.010020,0.071183,0.015575,0.062695,0.040120,0.119369,0.006970,-0.284454,-0.057387,0.036295,0.354064,0.134070,0.000000,0.000000
0.008235,-0.009180,-0.075620,0.008470,0.032695,-0.046450,-0.082785,-0.038035,-0.076250,0.278841,-0.177190,-0.060025,-0.081535,0.099720,0.002565,-0.079350,0.092754,-0.012385,0.063060,0.022095,0.150420,0.022750,-0.349895,-0.050315,0.035655,0.401125,0.090100,0.000000,0.000000
0.017250,-0.013920,-0.095930,0.002355,0.030325,-0.046385,-0.036521,-0.036840,-0.098420,0.208446,-0.151435,-0.052505,-0.072470,0.108735,-0.028065,-0.102089,0.104675,-0.073105,0.029925,-0.007050,0.165595,0.033765,-0.366560,-0.018829,0.032185,0.398521,0.033590,0.000000,0.000000
0.030055,-0.014495,-0.102345,0.001200,0.021415,-0.044205,0.010110,-0.031055,-0.106180,0.141135,-0.129820,-0.039600,-0.054575,0.101545,-0.061710,-0.067220,0.093365,-0.142940,0.037500,0.017970,0.162825,0.039055,-0.353205,0.009328,0.012345,0.332621,0.028100,0.000000,0.000000
0.033500,-0.012445,-0.108020,0.001555,0.015180,-0.043275,0.037155,-0.022955,-0.106245,0.091781,-0.110855,-0.038840,-0.033690,0.093210,-0.083200,0.011159,0.054395,-0.173360,-0.031145,0.032025,0.147200,0.031805,-0.276731,0.041163,-0.019295,0.181441,0.032915,0.000000,0.000000
0.027320,-0.009885,-0.115410,0.002320,0.015265,-0.042010,0.044040,-0.015695,-0.104145,0.063615,-0.095255,-0.048150,-0.010650,0.077745,-0.093130,0.099719,0.011897,-0.141385,-0.134585,0.017245,0.126845,0.014270,-0.163660,0.072947,-0.051300,-0.005445,0.032570,0.000000,0.000000
0.024880,-0.010590,-0.118470,0.003450,0.018536,-0.030420,0.054990,-0.012355,-0.106271,0.036580,-0.080795,-0.045035,0.006775,0.055510,-0.086890,0.172769,-0.014928,-0.052030,-0.058871,-0.018160,0.115030,-0.002885,-0.065660,0.093102,-0.068305,-0.110915,0.018075,0.000000,0.000000
