f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28
-0.441931,0.413030,0.080131,0.572532,-0.071612,-0.113881,0.077150,0.257207,-0.192319,0.117618,-0.186399,-0.122072,-0.093015,0.009359,0.122624,-0.453501,1.018853,0.159396,0.139027,-0.052658,0.104391,-0.156179,0.328848,1.062150,-0.032790,-0.042819,-0.137765,0.000000,0.000000
-0.442185,0.413008,0.079975,0.572652,-0.071498,-0.113749,0.077017,0.257342,-0.192121,0.117625,-0.186330,-0.122239,-0.092924,0.009219,0.122617,-0.453760,1.018985,0.159530,0.138850,-0.052656,0.104222,-0.155831,0.329757,1.062532,-0.026574,-0.043175,-0.134462,0.000000,0.000000
-0.442276,0.412958,0.080008,0.572529,-0.071267,-0.113998,0.076932,0.257341,-0.192062,0.117614,-0.186206,-0.121973,-0.092921,0.009161,0.122619,-0.453764,1.019013,0.159624,0.138894,-0.052859,0.104090,-0.155437,0.330467,1.062868,-0.022884,-0.045490,-0.132286,0.000000,0.000000
-0.442508,0.412931,0.079963,0.572499,-0.071031,-0.113968,0.076751,0.257311,-0.192180,0.117603,-0.186076,-0.121736,-0.093010,0.009158,0.122616,-0.453579,1.018934,0.159847,0.138489,-0.053129,0.103976,-0.155086,0.330771,1.063004,-0.021585,-0.047489,-0.130948,0.000000,0.000000
-0.442983,0.412933,0.079736,0.572673,-0.070819,-0.113401,0.076418,0.257276,-0.192530,0.117600,-0.185954,-0.121684,-0.093330,0.009098,0.122623,-0.453069,1.019094,0.160340,0.137416,-0.053401,0.103468,-0.154305,0.330728,1.063514,-0.023006,-0.048374,-0.130376,0.000000,0.000000
-0.443317,0.413063,0.079734,0.572629,-0.070491,-0.113240,0.076039,0.257387,-0.192299,0.117595,-0.185757,-0.121535,-0.093866,0.009176,0.122637,-0.452763,1.019158,0.160694,0.136848,-0.053453,0.103124,-0.153922,0.330223,1.063476,-0.024361,-0.050284,-0.129728,0.000000,0.000000
-0.443518,0.413246,0.079907,0.572388,-0.070079,-0.113382,0.075629,0.257539,-0.191761,0.117593,-0.185519,-0.121376,-0.094351,0.009022,0.122694,-0.452608,1.019572,0.160974,0.136783,-0.053427,0.102425,-0.153219,0.328944,1.063697,-0.025629,-0.053123,-0.129125,0.000000,0.000000
-0.443678,0.413277,0.080117,0.572004,-0.069660,-0.113566,0.075149,0.257450,-0.191583,0.117594,-0.185297,-0.121436,-0.095071,0.008791,0.122759,-0.452775,1.020435,0.161599,0.136195,-0.053773,0.101746,-0.152954,0.328319,1.063767,-0.026805,-0.054754,-0.128751,0.000000,0.000000
-0.443698,0.413360,0.080489,0.571522,-0.069263,-0.113889,0.074722,0.257335,-0.191439,0.117600,-0.185150,-0.121598,-0.095695,0.008304,0.122863,-0.453166,1.021406,0.162052,0.135699,-0.053934,0.100958,-0.152765,0.327843,1.063848,-0.027447,-0.056188,-0.128606,0.000000,0.000000
-0.443556,0.413563,0.081072,0.570994,-0.068921,-0.114375,0.074398,0.257256,-0.191234,0.117597,-0.185093,-0.121831,-0.096072,0.007496,0.123104,-0.453931,1.022306,0.162146,0.135338,-0.053703,0.100063,-0.152651,0.327518,1.063934,-0.027349,-0.057538,-0.128724,0.000000,0.000000
-0.443400,0.413725,0.081619,0.570376,-0.068422,-0.114626,0.074062,0.257221,-0.190713,0.117602,-0.184913,-0.121859,-0.096289,0.006688,0.123601,-0.454974,1.023070,0.161755,0.134699,-0.053831,0.099392,-0.152708,0.327458,1.063886,-0.027833,-0.057224,-0.128977,0.000000,0.000000
-0.443268,0.413852,0.082104,0.569747,-0.067862,-0.114714,0.073717,0.257205,-0.190110,0.117582,-0.184635,-0.121864,-0.096575,0.005982,0.124105,-0.455857,1.023744,0.160994,0.134326,-0.054187,0.098924,-0.152919,0.327643,1.063736,-0.028591,-0.055920,-0.129322,0.000000,0.000000
-0.443229,0.413948,0.082480,0.569297,-0.067487,-0.114818,0.073340,0.257123,-0.190095,0.117594,-0.184392,-0.122396,-0.097058,0.005334,0.124438,-0.456265,1.024652,0.159990,0.135293,-0.054556,0.098556,-0.153115,0.327646,1.063789,-0.028760,-0.055096,-0.129877,0.000000,0.000000
-0.443210,0.414011,0.082791,0.568856,-0.067175,-0.114878,0.072990,0.257107,-0.189931,0.117597,-0.184233,-0.122740,-0.097391,0.004621,0.124818,-0.456735,1.025421,0.159267,0.136101,-0.054716,0.098395,-0.153382,0.327491,1.063720,-0.028757,-0.054533,-0.130074,0.000000,0.000000
-0.443218,0.414063,0.083028,0.568439,-0.066935,-0.114887,0.072688,0.257221,-0.189358,0.117600,-0.184208,-0.122632,-0.097689,0.004199,0.125106,-0.457082,1.025756,0.159207,0.136437,-0.054443,0.098394,-0.153577,0.327322,1.063718,-0.028829,-0.054509,-0.129614,0.000000,0.000000
-0.443308,0.414152,0.083163,0.568144,-0.066695,-0.114936,0.072381,0.257250,-0.189349,0.117591,-0.184031,-0.122894,-0.097576,0.003654,0.125419,-0.457407,1.026095,0.159461,0.136255,-0.054581,0.098511,-0.153809,0.327122,1.063754,-0.028648,-0.054794,-0.129180,0.000000,0.000000
-0.443474,0.414288,0.083223,0.567965,-0.066481,-0.115014,0.072061,0.257265,-0.189590,0.117580,-0.183788,-0.123318,-0.097227,0.003410,0.125583,-0.457427,1.026168,0.159838,0.136036,-0.054849,0.098678,-0.153960,0.327095,1.064025,-0.028440,-0.055323,-0.128832,0.000000,0.000000
-0.443662,0.414431,0.083353,0.567662,-0.066236,-0.115105,0.071660,0.257415,-0.189237,0.117576,-0.183738,-0.123363,-0.096456,0.003227,0.125684,-0.456995,1.026028,0.159527,0.136505,-0.054677,0.099024,-0.154135,0.327345,1.064091,-0.028456,-0.055711,-0.128498,0.000000,0.000000
-0.443824,0.414636,0.083566,0.567435,-0.066053,-0.115062,0.071251,0.257554,-0.188802,0.117575,-0.183594,-0.123283,-0.095743,0.003393,0.125709,-0.456052,1.025484,0.159636,0.136622,-0.054687,0.099339,-0.154392,0.328144,1.064143,-0.028154,-0.056077,-0.128242,0.000000,0.000000
-0.443941,0.414925,0.083882,0.567340,-0.065965,-0.114816,0.070864,0.257632,-0.188436,0.117554,-0.183249,-0.123147,-0.094752,0.003647,0.125621,-0.455272,1.024873,0.160729,0.135734,-0.055118,0.099554,-0.154600,0.329084,1.064455,-0.027304,-0.056539,-0.128133,0.000000,0.000000
-0.444059,0.415230,0.084093,0.567316,-0.065934,-0.114537,0.070584,0.257777,-0.188198,0.117535,-0.183117,-0.123311,-0.093878,0.004058,0.125372,-0.454203,1.024110,0.161228,0.135960,-0.054679,0.099761,-0.154832,0.330189,1.064800,-0.026766,-0.056375,-0.128234,0.000000,0.000000
-0.444178,0.415540,0.084199,0.567328,-0.065949,-0.114358,0.070365,0.257962,-0.188100,0.117540,-0.183119,-0.123662,-0.092816,0.004446,0.125135,-0.453342,1.023241,0.161280,0.136717,-0.053804,0.100036,-0.154964,0.330947,1.065081,-0.026420,-0.056049,-0.128405,0.000000,0.000000
